  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.105 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2810   0.01610   0.00934  -0.0681   0.8988   1.0000
   1.000   0.4093   0.01530   0.00833  -0.0697   0.8412   1.0000
   2.000   0.5143   0.01497   0.00778  -0.0661   0.7769   1.0000
   3.000   0.6123   0.01521   0.00780  -0.0614   0.7085   1.0000
   4.000   0.7103   0.01584   0.00822  -0.0571   0.6394   1.0000
   5.000   0.8045   0.01666   0.00890  -0.0522   0.5604   1.0000
   6.000   0.8932   0.01767   0.00977  -0.0468   0.4680   1.0000
   7.000   0.9696   0.01905   0.01090  -0.0398   0.3473   1.0000
   8.000   1.0210   0.02310   0.01404  -0.0304   0.1866   1.0000
   9.000   1.0863   0.02843   0.01897  -0.0239   0.1259   1.0000
  10.000   1.1742   0.03466   0.02530  -0.0211   0.1023   1.0000
  11.000   1.2457   0.04242   0.03377  -0.0168   0.0883   1.0000
  12.000   1.2801   0.05232   0.04453  -0.0096   0.0786   1.0000
  13.000   1.2211   0.06443   0.05792   0.0031   0.0748   1.0000
  14.000   1.0900   0.08936   0.08392  -0.0009   0.0768   1.0000
  16.000   0.8360   0.19458   0.18930  -0.0643   0.1231   1.0000
  17.000   0.8637   0.20911   0.20386  -0.0704   0.1078   1.0000
  18.000   0.8892   0.22356   0.21833  -0.0780   0.0945   1.0000
  19.000   0.9112   0.23780   0.23256  -0.0880   0.0835   1.0000
  20.000   0.9383   0.25199   0.24675  -0.0974   0.0749   1.0000
