  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.004 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0139   0.06164   0.02406  -0.0158   1.0000   1.0000
   1.000   0.0424   0.06313   0.02455  -0.0123   1.0000   1.0000
   2.000   0.0993   0.06554   0.02634  -0.0096   1.0000   1.0000
   3.000   0.1549   0.06891   0.02946  -0.0078   1.0000   1.0000
   4.000   0.2081   0.07331   0.03393  -0.0070   1.0000   1.0000
   5.000   0.2581   0.07881   0.03978  -0.0072   1.0000   1.0000
   6.000   0.3044   0.08547   0.04705  -0.0084   1.0000   1.0000
   7.000   0.3467   0.09337   0.05574  -0.0107   1.0000   1.0000
   8.000   0.3851   0.10254   0.06583  -0.0140   1.0000   1.0000
   9.000   0.4199   0.11287   0.07714  -0.0184   1.0000   1.0000
  10.000   0.4522   0.12418   0.08939  -0.0237   1.0000   1.0000
  11.000   0.4836   0.13620   0.10232  -0.0298   1.0000   1.0000
  12.000   0.5154   0.14867   0.11557  -0.0365   1.0000   1.0000
  13.000   0.5487   0.16141   0.12903  -0.0438   1.0000   1.0000
  14.000   0.5836   0.17431   0.14253  -0.0514   1.0000   1.0000
  15.000   0.6201   0.18734   0.15614  -0.0593   1.0000   1.0000
  16.000   0.6578   0.20050   0.16981  -0.0673   1.0000   1.0000
  17.000   0.6961   0.21389   0.18373  -0.0756   1.0000   1.0000
  18.000   0.7347   0.22757   0.19787  -0.0840   1.0000   1.0000
  19.000   0.7734   0.24146   0.21226  -0.0926   1.0000   1.0000
  20.000   0.8119   0.25555   0.22680  -0.1014   1.0000   1.0000
