  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.705 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2415   0.00591   0.00152  -0.0519   0.7027   0.7469
   1.000   0.3412   0.00587   0.00175  -0.0480   0.6300   0.9283
   2.000   0.4711   0.00643   0.00200  -0.0513   0.5557   0.9851
   3.000   0.6167   0.00702   0.00230  -0.0589   0.4864   1.0000
   4.000   0.7115   0.00764   0.00263  -0.0555   0.4136   1.0000
   5.000   0.8061   0.00853   0.00318  -0.0522   0.3271   1.0000
   6.000   0.8990   0.00994   0.00410  -0.0489   0.2180   1.0000
   7.000   0.9892   0.01184   0.00544  -0.0456   0.1119   1.0000
   8.000   1.0787   0.01377   0.00711  -0.0422   0.0626   1.0000
   9.000   1.1660   0.01569   0.00905  -0.0385   0.0483   1.0000
  10.000   1.2456   0.01786   0.01132  -0.0338   0.0411   1.0000
  11.000   1.3175   0.01989   0.01351  -0.0282   0.0364   1.0000
  12.000   1.3720   0.02280   0.01666  -0.0209   0.0321   1.0000
  13.000   1.4139   0.02696   0.02103  -0.0141   0.0282   1.0000
  14.000   1.4540   0.03196   0.02625  -0.0097   0.0245   1.0000
  15.000   1.4837   0.03879   0.03343  -0.0070   0.0215   1.0000
  16.000   1.4853   0.04974   0.04471  -0.0068   0.0192   1.0000
  17.000   1.4820   0.06278   0.05814  -0.0095   0.0173   1.0000
  18.000   1.4361   0.08311   0.07887  -0.0162   0.0160   1.0000
  19.000   1.3917   0.10483   0.10108  -0.0249   0.0152   1.0000
  20.000   1.3395   0.12929   0.12596  -0.0364   0.0145   1.0000
