  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.404 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2328   0.00679   0.00246  -0.0494   0.7632   0.8964
   1.000   0.3666   0.00719   0.00259  -0.0526   0.6929   0.9774
   2.000   0.5180   0.00768   0.00267  -0.0611   0.6117   1.0000
   3.000   0.6128   0.00820   0.00288  -0.0578   0.5463   1.0000
   4.000   0.7070   0.00888   0.00330  -0.0542   0.4774   1.0000
   5.000   0.8012   0.00974   0.00388  -0.0507   0.3954   1.0000
   6.000   0.8946   0.01100   0.00477  -0.0475   0.2928   1.0000
   7.000   0.9812   0.01308   0.00625  -0.0436   0.1672   1.0000
   8.000   1.0596   0.01590   0.00856  -0.0386   0.0808   1.0000
   9.000   1.1380   0.01837   0.01109  -0.0337   0.0614   1.0000
  10.000   1.2050   0.02109   0.01397  -0.0272   0.0523   1.0000
  11.000   1.2557   0.02452   0.01763  -0.0192   0.0460   1.0000
  12.000   1.2972   0.02904   0.02236  -0.0122   0.0405   1.0000
  13.000   1.3363   0.03414   0.02773  -0.0072   0.0357   1.0000
  14.000   1.3605   0.04138   0.03539  -0.0036   0.0314   1.0000
  15.000   1.3689   0.05109   0.04542  -0.0020   0.0282   1.0000
  16.000   1.3689   0.06308   0.05788  -0.0040   0.0254   1.0000
  17.000   1.3492   0.07886   0.07408  -0.0082   0.0234   1.0000
  18.000   1.3144   0.09907   0.09489  -0.0167   0.0218   1.0000
  19.000   1.2797   0.12070   0.11693  -0.0276   0.0206   1.0000
  20.000   1.2219   0.14855   0.14527  -0.0435   0.0197   1.0000
