  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.204 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2825   0.00988   0.00475  -0.0600   0.8371   0.9770
   1.000   0.4258   0.00970   0.00417  -0.0661   0.7700   1.0000
   2.000   0.5192   0.00996   0.00404  -0.0621   0.6946   1.0000
   3.000   0.6136   0.01053   0.00425  -0.0582   0.6234   1.0000
   4.000   0.7079   0.01131   0.00477  -0.0543   0.5552   1.0000
   5.000   0.8009   0.01221   0.00547  -0.0503   0.4778   1.0000
   6.000   0.8911   0.01329   0.00635  -0.0461   0.3830   1.0000
   7.000   0.9731   0.01519   0.00779  -0.0411   0.2548   1.0000
   8.000   1.0373   0.01888   0.01069  -0.0342   0.1210   1.0000
   9.000   1.0992   0.02275   0.01449  -0.0270   0.0865   1.0000
  10.000   1.1606   0.02680   0.01864  -0.0202   0.0726   1.0000
  11.000   1.2244   0.03143   0.02352  -0.0145   0.0626   1.0000
  12.000   1.2796   0.03700   0.02949  -0.0089   0.0544   1.0000
  13.000   1.3154   0.04389   0.03684  -0.0027   0.0478   1.0000
  14.000   1.3252   0.05165   0.04512   0.0028   0.0426   1.0000
  16.000   0.8886   0.17112   0.16741  -0.0516   0.0597   1.0000
  17.000   0.6145   0.17442   0.17095  -0.0379   0.0725   1.0000
