  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.205 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2817   0.00985   0.00472  -0.0598   0.8367   0.9766
   1.000   0.4259   0.00967   0.00415  -0.0661   0.7695   1.0000
   2.000   0.5192   0.00994   0.00403  -0.0621   0.6940   1.0000
   3.000   0.6136   0.01051   0.00424  -0.0581   0.6229   1.0000
   4.000   0.7079   0.01129   0.00476  -0.0543   0.5545   1.0000
   5.000   0.8009   0.01219   0.00545  -0.0503   0.4773   1.0000
   6.000   0.8911   0.01327   0.00634  -0.0461   0.3824   1.0000
   7.000   0.9731   0.01517   0.00778  -0.0411   0.2543   1.0000
   8.000   1.0374   0.01886   0.01068  -0.0342   0.1207   1.0000
   9.000   1.0995   0.02271   0.01445  -0.0270   0.0863   1.0000
  10.000   1.1607   0.02675   0.01860  -0.0202   0.0724   1.0000
  11.000   1.2242   0.03136   0.02346  -0.0145   0.0625   1.0000
  12.000   1.2793   0.03691   0.02941  -0.0088   0.0543   1.0000
  13.000   1.3150   0.04378   0.03675  -0.0027   0.0477   1.0000
  14.000   1.3267   0.05147   0.04493   0.0028   0.0425   1.0000
  15.000   1.2866   0.06625   0.06067   0.0049   0.0397   1.0000
  16.000   1.2013   0.08992   0.08533  -0.0035   0.0386   1.0000
  18.000   0.6169   0.18648   0.18305  -0.0431   0.0639   1.0000
  19.000   0.6366   0.19780   0.19442  -0.0458   0.0577   1.0000
  20.000   0.6558   0.20864   0.20533  -0.0492   0.0495   1.0000
